"","計測時間","2020 / 07 / 01  12:53 - 13:00"
"","コメント1",""
"","コメント2",""
"","コメント3",""
"","フォルダ","Sample_X"
"","試料距離（モニタ）","27.000 [mm]"
"","試料距離（解析）","28.368 [mm]"
"","X線入射角度","18.0 [deg]"

"","残留応力"

"","解析条件" 1,"σx",---,"標準偏差",---
"","","τxy",---,"標準偏差",---


"","半価幅"

"","解析条件" 1,"半価幅",---


"","残留オーステナイト"

"","解析条件" 1,"γRi",24.5 [%]

"","残留オーステナイト",,,,,,,,
"","α","γRi","γR （ピーク強度）","積分強度 α","積分強度 γ","ピーク強度 α","ピーク強度 γ","半価幅 α","半価幅 γ"
"","198.00","23.5","34.2","180645.6","46593.9","136476.2","55757.0","6.47","1.97"
"","198.72","23.4","34.3","181198.9","46432.3","136455.7","56142.9","6.49","1.95"
"","199.44","23.3","34.5","181920.0","46211.3","136441.2","56611.3","6.52","1.93"
"","200.16","23.1","34.7","182712.0","45966.6","136407.5","57041.2","6.55","1.90"
"","200.88","23.0","34.8","183463.2","45758.7","136357.5","57379.2","6.58","1.88"
"","201.60","22.9","34.9","184102.4","45636.8","136365.5","57596.3","6.60","1.87"
"","202.32","22.8","34.9","184598.6","45601.3","136483.0","57683.5","6.61","1.87"
"","203.04","22.8","34.8","184978.7","45627.9","136766.5","57651.7","6.61","1.87"
"","203.76","22.8","34.7","185302.8","45665.1","137249.7","57511.3","6.60","1.87"
"","204.48","22.8","34.5","185645.6","45673.8","137924.9","57236.8","6.58","1.88"
"","205.20","22.7","34.2","186073.5","45630.2","138740.3","56830.6","6.56","1.90"
"","205.92","22.6","33.9","186637.7","45548.4","139644.8","56321.9","6.53","1.91"
"","206.64","22.6","33.6","187349.2","45477.2","140569.6","55774.9","6.52","1.92"
"","207.36","22.5","33.3","188163.1","45486.9","141371.1","55292.8","6.51","1.94"
"","208.08","22.5","33.1","189050.9","45645.8","142037.9","54992.0","6.51","1.96"
"","208.80","22.5","33.0","189983.2","45985.0","142552.9","54977.6","6.52","1.97"
"","209.52","22.6","33.1","190956.8","46514.0","142909.3","55304.0","6.53","1.99"
"","210.24","22.8","33.3","191967.4","47197.1","143147.3","55964.6","6.56","1.99"
"","210.96","22.9","33.6","192996.7","47964.6","143305.2","56859.0","6.58","1.99"
